Times,Velocityms,Accelms2,PressurePa,TempC,Humiditypct,WindSpeedms,Altitudem,AltitudemREDUNDANT,VelocitymsREDUNDANT,Accelms2REDUNDANT,PressurePaREDUNDANT,TempCREDUNDANT,HumiditypctREDUNDANT,WindSpeedmsREDUNDANT
20.3,-4.427474492827714,0.0,890.1437735141317,30.684495066754064,63,6.5,1056.1184,1056.1184,-4.427474492827714,0.0,890.1437735141317,30.684495066754064,63,6.5
69.60000000000001,-4.343295254819194,0.0,909.6872652455564,30.653215842732177,60,1.8,841.1704,841.1704,-4.343295254819194,0.0,909.6872652455564,30.653215842732177,60,1.8
35.7,-4.354816669642701,0.0,900.1320834244967,25.54890949582919,73,7.2,988.9744,988.9744,-4.354816669642701,0.0,900.1320834244967,25.54890949582919,73,7.2
54.300000000000004,-4.442583664125579,0.0,911.4672093745537,28.054358837288476,51,6.8,907.8783999999999,907.8783999999999,-4.442583664125579,0.0,911.4672093745537,28.054358837288476,51,6.8
31.400000000000002,-4.356862842844011,0.0,894.4001256918096,26.413810291428142,73,7.1,1007.7224,1007.7224,-4.356862842844011,0.0,894.4001256918096,26.413810291428142,73,7.1
33.0,-4.312919442619993,0.0,897.5399661559686,30.109015046295784,65,9.3,1000.7464,1000.7464,-4.312919442619993,0.0,897.5399661559686,30.109015046295784,65,9.3
125.0,-4.456511343846398,0.0,942.3705514585347,29.75033880875951,45,9.5,599.6263999999999,599.6263999999999,-4.456511343846398,0.0,942.3705514585347,29.75033880875951,45,9.5
137.70000000000002,-4.383569585700877,0.0,947.5720995223942,29.920350158823947,56,6.6,544.2543999999999,544.2543999999999,-4.383569585700877,0.0,947.5720995223942,29.920350158823947,56,6.6
150.0,-4.33748836507695,0.0,957.0367771809173,29.60260155477041,44,4.8,490.6264,490.6264,-4.33748836507695,0.0,957.0367771809173,29.60260155477041,44,4.8
47.6,-4.357049484923943,0.0,901.4157972072874,30.69252396081812,60,2.5,937.0904,937.0904,-4.357049484923943,0.0,901.4157972072874,30.69252396081812,60,2.5
0.1,10.224148254704295,102.24148254704293,1015.138218812649,21.83468414835595,75,4.3,0.5112074127352148,0.5112074127352148,10.224148254704295,102.24148254704293,1015.138218812649,21.83468414835595,75,4.3
105.9,-4.428058324912526,0.0,934.7336806594673,24.845911716085265,68,6.2,682.9024,682.9024,-4.428058324912526,0.0,934.7336806594673,24.845911716085265,68,6.2
35.5,-4.371732903850161,0.0,897.9054317406631,29.90512805413822,45,7.2,989.8464,989.8464,-4.371732903850161,0.0,897.9054317406631,29.90512805413822,45,7.2
92.7,-4.3087146196091,0.0,925.6959987759018,29.829296504415133,56,6.6,740.4544,740.4544,-4.3087146196091,0.0,925.6959987759018,29.829296504415133,56,6.6
69.60000000000001,-4.326306967901509,0.0,915.8393024446314,24.729480397728775,69,6.3,841.1704,841.1704,-4.326306967901509,0.0,915.8393024446314,24.729480397728775,69,6.3
127.0,-4.490553974483966,0.0,943.3493297851873,29.735325291276467,45,9.5,590.9064,590.9064,-4.490553974483966,0.0,943.3493297851873,29.735325291276467,45,9.5
83.0,-4.250938599939057,0.0,918.2228729293371,30.992618077584968,53,6.5,782.7464,782.7464,-4.250938599939057,0.0,918.2228729293371,30.992618077584968,53,6.5
115.4,-4.377198122243962,0.0,937.130647510511,28.217676214162704,69,11.8,641.4823999999999,641.4823999999999,-4.377198122243962,0.0,937.130647510511,28.217676214162704,69,11.8
5.800000000000001,128.47809999999998,-9.698472300888309,946.6704926105159,26.9641082597886,69,1.0,586.2471285,586.2471285,128.47809999999998,-9.698472300888309,946.6704926105159,26.9641082597886,69,1.0
111.0,-4.325554350717629,0.0,934.5306803442944,29.735211128837516,56,6.6,660.6664,660.6664,-4.325554350717629,0.0,934.5306803442944,29.735211128837516,56,6.6
31.3,-4.275176624415441,0.0,898.965602573886,29.60416167321897,47,7.2,1008.1584,1008.1584,-4.275176624415441,0.0,898.965602573886,29.60416167321897,47,7.2
133.6,-4.399176473223209,0.0,946.2124088325102,25.424407425565548,53,7.4,562.1304,562.1304,-4.399176473223209,0.0,946.2124088325102,25.424407425565548,53,7.4
113.0,-4.267578436902711,0.0,931.3373634676142,29.418957373408933,70,4.1,651.9463999999999,651.9463999999999,-4.267578436902711,0.0,931.3373634676142,29.418957373408933,70,4.1
76.9,-4.375431806544475,0.0,918.8619708577228,25.81249433001808,49,10.3,809.3424,809.3424,-4.375431806544475,0.0,918.8619708577228,25.81249433001808,49,10.3
140.70000000000002,-4.40452634380843,0.0,952.8036452442193,28.423950558988132,61,5.3,531.1743999999999,531.1743999999999,-4.40452634380843,0.0,952.8036452442193,28.423950558988132,61,5.3
148.3,-4.351220638941304,0.0,948.5589700690466,29.468482248744778,70,4.1,498.0383999999999,498.0383999999999,-4.351220638941304,0.0,948.5589700690466,29.468482248744778,70,4.1
15.600000000000001,32.34009999999998,-10.021724252742013,1009.8346836451122,25.267717525001917,68,2.1,49.47466849999955,49.47466849999955,32.34009999999998,-10.021724252742013,1009.8346836451122,25.267717525001917,68,2.1
106.80000000000001,-4.346773647615825,0.0,933.9713821200955,25.582527436239463,73,7.2,678.9784,678.9784,-4.346773647615825,0.0,933.9713821200955,25.582527436239463,73,7.2
75.10000000000001,-4.353363629003313,0.0,914.2839712613968,29.78532658736139,62,6.6,817.1904,817.1904,-4.353363629003313,0.0,914.2839712613968,29.78532658736139,62,6.6
27.3,-4.37008341246761,0.0,898.4287112987704,27.002526045298747,69,1.0,1025.5984,1025.5984,-4.37008341246761,0.0,898.4287112987704,27.002526045298747,69,1.0
103.10000000000001,-4.345084284898033,0.0,928.3129970453579,26.682540206095005,73,7.1,695.1103999999999,695.1103999999999,-4.345084284898033,0.0,928.3129970453579,26.682540206095005,73,7.1
34.4,-4.404347634386444,0.0,901.6569100906645,28.0987070216814,61,5.3,994.6424,994.6424,-4.404347634386444,0.0,901.6569100906645,28.0987070216814,61,5.3
4.4,142.2121,-9.857097904842815,965.6166346066306,26.544670502897038,60,2.8,432.19770850000003,432.19770850000003,142.2121,-9.857097904842815,965.6166346066306,26.544670502897038,60,2.8
156.5,-4.393369234435264,0.0,957.9049576893345,29.821566200977305,45,9.5,462.28639999999996,462.28639999999996,-4.393369234435264,0.0,957.9049576893345,29.821566200977305,45,9.5
18.7,-4.382271787363393,0.0,894.5153464496391,21.889540250935788,75,4.3,1063.0944,1063.0944,-4.382271787363393,0.0,894.5153464496391,21.889540250935788,75,4.3
12.700000000000001,60.78909999999999,-9.92221771588143,955.7492473075222,22.841562552680895,77,5.1,502.76264849999984,502.76264849999984,60.78909999999999,-9.92221771588143,955.7492473075222,22.841562552680895,77,5.1
17.400000000000002,-4.3370243251662535,0.0,890.213747812912,29.756641443281044,56,6.6,1068.7624,1068.7624,-4.3370243251662535,0.0,890.213747812912,29.756641443281044,56,6.6
65.7,-4.254131075525261,0.0,911.3688999432443,30.684710319838,63,6.5,858.1744,858.1744,-4.254131075525261,0.0,911.3688999432443,30.684710319838,63,6.5
111.9,-4.444421913374466,0.0,934.6899032797502,28.27661644496343,74,3.2,656.7423999999999,656.7423999999999,-4.444421913374466,0.0,934.6899032797502,28.27661644496343,74,3.2
95.4,-4.435336291705275,0.0,927.0858958777261,30.14365138090788,65,9.3,728.6823999999999,728.6823999999999,-4.435336291705275,0.0,927.0858958777261,30.14365138090788,65,9.3
128.1,-4.356824469484831,0.0,941.3700614331821,30.634784805243136,63,6.5,586.1104,586.1104,-4.356824469484831,0.0,941.3700614331821,30.634784805243136,63,6.5
94.2,-4.394897361981893,0.0,927.8831395345923,25.539715778054997,73,7.2,733.9143999999999,733.9143999999999,-4.394897361981893,0.0,927.8831395345923,25.539715778054997,73,7.2
34.7,-4.33112952293206,0.0,897.354970544825,26.44743066228755,73,5.6,993.3344,993.3344,-4.33112952293206,0.0,897.354970544825,26.44743066228755,73,5.6
18.1,-4.349748038742559,0.0,890.9776748693272,24.460836388310625,83,13.4,1065.7104,1065.7104,-4.349748038742559,0.0,890.9776748693272,24.460836388310625,83,13.4
106.9,-4.372082344042659,0.0,927.4708376215808,30.76009160415148,60,1.8,678.5423999999999,678.5423999999999,-4.372082344042659,0.0,927.4708376215808,30.76009160415148,60,1.8
111.9,-4.350300055224319,0.0,932.0079989367093,30.793898973962115,60,2.5,656.7423999999999,656.7423999999999,-4.350300055224319,0.0,932.0079989367093,30.793898973962115,60,2.5
151.5,-4.310935276350816,0.0,954.9501894366143,30.079137969494575,39,10.0,484.0864,484.0864,-4.310935276350816,0.0,954.9501894366143,30.079137969494575,39,10.0
32.2,-4.384114074065025,0.0,897.5222779852782,29.2803579192535,47,7.2,1004.2344,1004.2344,-4.384114074065025,0.0,897.5222779852782,29.2803579192535,47,7.2
124.60000000000001,-4.3567579850955,0.0,940.220004810199,26.367636518694248,73,5.6,601.3703999999999,601.3703999999999,-4.3567579850955,0.0,940.220004810199,26.367636518694248,73,5.6
136.70000000000002,-4.45806534777433,0.0,943.8953541850166,30.36124057483865,63,9.4,548.6143999999998,548.6143999999998,-4.45806534777433,0.0,943.8953541850166,30.36124057483865,63,9.4
41.2,-4.316554481580647,0.0,898.9612315758927,26.36981913994423,73,7.1,964.9944,964.9944,-4.316554481580647,0.0,898.9612315758927,26.36981913994423,73,7.1
141.70000000000002,-4.362755651761822,0.0,953.4861661118337,21.939341620717556,75,4.3,526.8143999999999,526.8143999999999,-4.362755651761822,0.0,953.4861661118337,21.939341620717556,75,4.3
83.4,-4.3406874018247725,0.0,918.5957762664501,31.398498389978194,55,12.5,781.0023999999999,781.0023999999999,-4.3406874018247725,0.0,918.5957762664501,31.398498389978194,55,12.5
74.10000000000001,-4.430340687272359,0.0,915.3511433291757,30.744656391073686,63,6.5,821.5504,821.5504,-4.430340687272359,0.0,915.3511433291757,30.744656391073686,63,6.5
104.60000000000001,-4.38230765482916,0.0,934.7480787249567,29.72638657266222,44,4.8,688.5703999999998,688.5703999999998,-4.38230765482916,0.0,934.7480787249567,29.72638657266222,44,4.8
58.300000000000004,-4.414489733644406,0.0,913.3615547444498,28.092135945716517,51,6.8,890.4384,890.4384,-4.414489733644406,0.0,913.3615547444498,28.092135945716517,51,6.8
