Time,Type,Location,Message,Details,ML_Flag,ML_Details
2025-10-13 01:18:56.471,ERROR,Terminal,Traceback (most recent call last):,Traceback (most recent call last):,0,
2025-10-13 01:18:56.566,ERROR,Terminal,"File ""C:\MERN_TT\cockpit_tab.py"", line 74, in paintEvent
    pen_bg = QPen(self.bg_arc_color, max(10, arc_w * 0.06), cap=Qt.RoundCap)","File ""C:\MERN_TT\cockpit_tab.py"", line 74, in paintEvent
    pen_bg = QPen(self.bg_arc_color, max(10, arc_w * 0.06), cap=Qt.RoundCap)",0,
2025-10-13 01:18:56.662,ERROR,Terminal,AttributeError: PySide6.QtGui.QPen.__init__(): unsupported keyword 'cap',AttributeError: PySide6.QtGui.QPen.__init__(): unsupported keyword 'cap',0,
2025-10-13 01:18:56.763,ERROR,Terminal,Traceback (most recent call last):,Traceback (most recent call last):,0,
2025-10-13 01:18:56.868,ERROR,Terminal,"File ""C:\MERN_TT\cockpit_tab.py"", line 74, in paintEvent
    pen_bg = QPen(self.bg_arc_color, max(10, arc_w * 0.06), cap=Qt.RoundCap)","File ""C:\MERN_TT\cockpit_tab.py"", line 74, in paintEvent
    pen_bg = QPen(self.bg_arc_color, max(10, arc_w * 0.06), cap=Qt.RoundCap)",0,
2025-10-13 01:18:56.974,ERROR,Terminal,AttributeError: PySide6.QtGui.QPen.__init__(): unsupported keyword 'cap',AttributeError: PySide6.QtGui.QPen.__init__(): unsupported keyword 'cap',0,
2025-10-13 01:18:57.089,ERROR,Terminal,Traceback (most recent call last):,Traceback (most recent call last):,0,
2025-10-13 01:18:57.204,ERROR,Terminal,"File ""C:\MERN_TT\cockpit_tab.py"", line 74, in paintEvent
    pen_bg = QPen(self.bg_arc_color, max(10, arc_w * 0.06), cap=Qt.RoundCap)","File ""C:\MERN_TT\cockpit_tab.py"", line 74, in paintEvent
    pen_bg = QPen(self.bg_arc_color, max(10, arc_w * 0.06), cap=Qt.RoundCap)",0,
2025-10-13 01:18:57.317,ERROR,Terminal,AttributeError: PySide6.QtGui.QPen.__init__(): unsupported keyword 'cap',AttributeError: PySide6.QtGui.QPen.__init__(): unsupported keyword 'cap',0,
2025-10-13 01:18:57.427,ERROR,Terminal,Traceback (most recent call last):,Traceback (most recent call last):,0,
2025-10-13 01:18:57.545,ERROR,Terminal,"File ""C:\MERN_TT\cockpit_tab.py"", line 194, in paintEvent
    grad_brush = QLinearGradient(fill_rect.topLeft(), fill_rect.bottomLeft())
                 ^^^^^^^^^^^^^^^","File ""C:\MERN_TT\cockpit_tab.py"", line 194, in paintEvent
    grad_brush = QLinearGradient(fill_rect.topLeft(), fill_rect.bottomLeft())
                 ^^^^^^^^^^^^^^^",0,
2025-10-13 01:18:57.668,ERROR,Terminal,NameError: name 'QLinearGradient' is not defined,NameError: name 'QLinearGradient' is not defined,0,
2025-10-13 01:18:58.631,ERROR,Terminal,Traceback (most recent call last):,Traceback (most recent call last):,0,
2025-10-13 01:18:58.755,ERROR,Terminal,"File ""C:\MERN_TT\cockpit_tab.py"", line 74, in paintEvent
    pen_bg = QPen(self.bg_arc_color, max(10, arc_w * 0.06), cap=Qt.RoundCap)","File ""C:\MERN_TT\cockpit_tab.py"", line 74, in paintEvent
    pen_bg = QPen(self.bg_arc_color, max(10, arc_w * 0.06), cap=Qt.RoundCap)",0,
2025-10-13 01:18:58.875,ERROR,Terminal,AttributeError: PySide6.QtGui.QPen.__init__(): unsupported keyword 'cap',AttributeError: PySide6.QtGui.QPen.__init__(): unsupported keyword 'cap',0,
2025-10-13 01:18:58.999,ERROR,Terminal,Traceback (most recent call last):,Traceback (most recent call last):,0,
2025-10-13 01:18:59.133,ERROR,Terminal,"File ""C:\MERN_TT\cockpit_tab.py"", line 74, in paintEvent
    pen_bg = QPen(self.bg_arc_color, max(10, arc_w * 0.06), cap=Qt.RoundCap)","File ""C:\MERN_TT\cockpit_tab.py"", line 74, in paintEvent
    pen_bg = QPen(self.bg_arc_color, max(10, arc_w * 0.06), cap=Qt.RoundCap)",0,
2025-10-13 01:18:59.267,ERROR,Terminal,AttributeError: PySide6.QtGui.QPen.__init__(): unsupported keyword 'cap',AttributeError: PySide6.QtGui.QPen.__init__(): unsupported keyword 'cap',0,
2025-10-13 01:18:59.401,ERROR,Terminal,Traceback (most recent call last):,Traceback (most recent call last):,0,
2025-10-13 01:18:59.539,ERROR,Terminal,"File ""C:\MERN_TT\cockpit_tab.py"", line 74, in paintEvent
    pen_bg = QPen(self.bg_arc_color, max(10, arc_w * 0.06), cap=Qt.RoundCap)","File ""C:\MERN_TT\cockpit_tab.py"", line 74, in paintEvent
    pen_bg = QPen(self.bg_arc_color, max(10, arc_w * 0.06), cap=Qt.RoundCap)",0,
2025-10-13 01:18:59.690,ERROR,Terminal,AttributeError: PySide6.QtGui.QPen.__init__(): unsupported keyword 'cap',AttributeError: PySide6.QtGui.QPen.__init__(): unsupported keyword 'cap',0,
2025-10-13 01:18:59.845,ERROR,Terminal,Traceback (most recent call last):,Traceback (most recent call last):,0,
2025-10-13 01:18:59.997,ERROR,Terminal,"File ""C:\MERN_TT\cockpit_tab.py"", line 194, in paintEvent
    grad_brush = QLinearGradient(fill_rect.topLeft(), fill_rect.bottomLeft())
                 ^^^^^^^^^^^^^^^","File ""C:\MERN_TT\cockpit_tab.py"", line 194, in paintEvent
    grad_brush = QLinearGradient(fill_rect.topLeft(), fill_rect.bottomLeft())
                 ^^^^^^^^^^^^^^^",0,
2025-10-13 01:19:00.151,ERROR,Terminal,NameError: name 'QLinearGradient' is not defined,NameError: name 'QLinearGradient' is not defined,0,
